sample_id,acceptance_status,acceptance_reason,trajectory_checksum,d_is_zero,mu_M1,mu_M2,hn,vn,kpn1,kpn12,mu_n12,a_inf2,mu_n10
41,accepted,,80bb72ebccfed4ba,False,2B,2B,2B,2A,2B,2A,1,2B,2A
42,accepted,,d8b1ff6150c97dba,False,2A,2B,1,2B,2B,2A,1,2A,2A
43,accepted,,5f60194001ee618b,False,2B,1,2B,2B,2A,1,1,1,2B
44,accepted,,9d2b6d8d63d653c5,False,2A,2A,1,2B,2B,2B,1,1,2B
45,accepted,,f882663fd6f3d3f5,False,2A,2B,2B,2B,1,2B,1,2B,1
46,accepted,,9c0d6d7c1d95c74d,False,2B,2A,1,2A,1,1,2B,2A,2A
47,accepted,,68acd950490666f9,False,2B,2B,1,2B,2B,2A,1,1,2A
48,accepted,,893e47baa224aea1,True,2A,1,2B,2A,2B,2B,2B,1,2A
49,accepted,,5eba2556929628cf,False,2B,1,1,2B,2A,1,1,2B,1
50,accepted,,25c3d293cc446b21,True,1,1,1,2A,2B,2B,1,2A,1
51,accepted,,46b39385548c7539,False,1,2A,2B,2B,2B,1,2B,2A,2A
52,accepted,,2420866810ba9885,False,2B,2B,2B,2B,1,2B,2B,2A,1
53,accepted,,e77cf19aacb5fd0d,False,2B,1,1,2A,1,1,1,1,1
54,accepted,,ce6997fe1b94169c,True,2A,2A,1,2A,2B,2A,2B,2A,2B
55,accepted,,34b89bb6f00ba959,True,2B,1,1,2A,1,2B,2B,2B,1
56,accepted,,b3b600a3f274947c,False,2B,2B,2B,2B,2A,2B,1,2B,2B
57,accepted,,0b77be808f104369,False,2B,2A,1,2A,2B,2A,2B,2A,2A
58,accepted,,38edd1380a1bebb5,False,2A,1,1,2B,1,2A,1,2A,2A
59,accepted,,19657b3441124eeb,False,2A,2B,1,2A,1,1,1,1,1
60,accepted,,57837527b548ea46,False,1,2A,1,2B,1,1,2B,1,1
61,accepted,,4020ae90518d461f,False,2A,1,1,2A,1,2B,2B,2B,2B
62,accepted,,78eb06438f104f10,True,1,2A,2B,2B,2B,2B,2B,2B,2B
63,accepted,,1a371130c6e2a88f,True,2A,2B,1,2A,2B,2B,1,1,2B
64,accepted,,08d411abbc10d482,True,2A,2B,2B,2A,2B,2B,1,2A,1
65,accepted,,592968b684967174,False,2A,2B,1,2B,2A,1,1,1,2A
66,accepted,,a256fe1c7980e5a5,False,2B,1,2B,2B,1,2B,2B,2A,2B
67,accepted,,272fcc65a769dffd,False,2B,2A,1,2B,2B,2B,1,2B,2A
68,accepted,,7245b9ebce883dc8,False,2A,2A,2B,2A,2A,1,1,2B,1
69,accepted,,61524b40515c945e,True,2B,2A,2B,2A,2A,2A,1,1,2B
70,accepted,,ea29f439698d13ff,False,2A,1,2B,2A,2B,1,1,2B,1
71,accepted,,4e2e69813a6659c7,False,2A,2B,2B,2A,2A,2A,1,1,1
72,accepted,,ac6e82861aad33bc,False,2A,1,1,2A,1,2A,1,2A,2A
73,accepted,,932a04444e0216dd,False,2A,1,1,2B,1,1,2B,2B,1
74,accepted,,a2c38ec086ff2e18,True,1,2A,1,2B,2A,2A,1,2A,2A
75,accepted,,5ef3e93776b9c3d8,False,1,2B,2B,2A,1,2B,1,2B,1
76,accepted,,56c29e2988012cc4,True,2A,2A,2B,2B,2A,1,2B,2B,2B
77,accepted,,306d98caa0085fa9,False,1,2A,2B,2B,2B,2B,2B,1,2A
78,accepted,,d9238c22813a63a7,False,1,1,2B,2B,2B,2B,2B,2A,2B
79,accepted,,378f5bab6668d838,False,2A,1,1,2B,2B,2A,2B,2B,2B
80,accepted,,239eb0268ece411e,False,2A,1,2B,2A,2A,2B,2B,1,1
81,accepted,,535282ca66c3efa8,False,2B,2A,1,2B,1,1,1,2A,2B
82,accepted,,acca90d593a6a9f7,True,2A,1,2B,2B,2A,1,1,2B,2B
83,accepted,,f9f876184ab16cd6,False,2B,2A,2B,2A,1,2B,1,2A,1
84,accepted,,4f10182e167b161d,False,2A,2B,2B,2B,2B,2A,1,2A,1
85,accepted,,63a1c51b914646ca,False,2A,2A,2B,2B,2A,2B,1,2B,2B
86,accepted,,d00892ee332a93e9,False,1,2B,1,2A,2B,1,2B,1,1
87,accepted,,a824693b2b966c04,False,1,2B,1,2A,2A,1,2B,1,2A
88,accepted,,03f69a84f418c89e,False,2B,1,1,2A,1,2A,2B,2A,2B
89,accepted,,8a34b06a4eb0b2cd,True,1,1,1,2B,2A,1,1,2A,2A
90,accepted,,5730d91b0fde9b5b,True,1,2B,1,2A,1,2A,2B,1,2B
91,accepted,,522e9740e44d8ece,True,1,2B,1,2B,2A,2A,2B,1,2B
92,accepted,,e12544e1084c4695,True,2A,2B,2B,2A,1,2A,2B,1,1
93,accepted,,937a99b413a9ecbf,False,2B,1,2B,2A,2A,2B,1,2A,2A
94,accepted,,159684e2c107eb71,False,1,1,2B,2A,2B,2A,2B,2B,2A
95,accepted,,e59f08278dc68edc,False,2B,2B,1,2B,1,2A,2B,2A,1
96,accepted,,418ce978eb07a17c,False,1,2A,1,2B,2A,2A,2B,2A,2A
97,accepted,,47aa03bb2dd11abf,False,2B,2A,1,2A,2B,2B,1,1,2B
98,accepted,,f3d1d6710374d840,True,1,2A,1,2A,1,2B,2B,2B,2A
99,accepted,,f86799a22ab90803,True,1,2B,2B,2B,2A,2A,2B,2A,1
100,accepted,,a980dcd380c1ccf4,True,2B,2B,1,2A,2A,1,1,2A,2B
101,accepted,,807513e0b95d9a8d,False,2A,2A,1,2A,2B,2A,1,1,1
102,accepted,,73c56e4cfa919977,False,2B,1,2B,2B,2A,2B,2B,2A,1
103,accepted,,0e02e12771c24208,True,2A,2B,2B,2B,2A,2B,2B,1,2A
104,accepted,,7745ff190a1914df,False,2A,2A,1,2A,2B,2B,2B,2B,2A
105,accepted,,bc59bf0db64eab29,False,2A,2B,2B,2A,2A,2B,1,2B,1
106,accepted,,8a8cdbcdeb4127f8,True,2A,1,1,2B,2A,2A,2B,2B,2B
107,accepted,,51b14517d95a4899,False,2A,2B,1,2A,2B,2A,2B,1,2A
108,accepted,,d62ce38d533bcec2,False,2B,1,2B,2A,1,2B,1,1,2A
109,accepted,,5537ec98cb20bb2d,False,2B,2B,2B,2B,1,1,1,2A,1
110,accepted,,5cd85ac769c8259a,True,2A,1,2B,2B,2B,2B,1,1,2A
111,accepted,,1729218c15e74bef,True,2A,2A,2B,2A,2B,2B,2B,2A,1
112,accepted,,89dcbebf6dbbcc91,True,2B,2A,1,2A,2B,2B,1,2B,2A
113,accepted,,8f54609d2b10a0cb,True,2A,2B,1,2B,1,2B,2B,2A,1
114,accepted,,0d9b827975086e68,True,1,2B,1,2B,2B,2B,2B,1,2B
115,accepted,,a7c867723e75e9a3,True,2A,1,2B,2A,2A,2A,2B,2A,1
116,accepted,,e8065b7ff02a42fc,False,2A,2B,2B,2B,2B,1,2B,2B,2B
117,accepted,,38ffabc0f691c7de,True,2A,1,1,2A,2A,2A,1,2B,1
118,accepted,,325e63e4aa149aa3,True,1,1,1,2B,2B,1,1,2A,1
119,accepted,,79ee1b12816432a1,False,2A,1,1,2A,2B,2A,1,2A,2B
120,accepted,,263aa17e7e58e433,False,1,2A,1,2A,1,2B,1,1,2B
121,accepted,,30fb47996f4a0434,True,2B,2B,1,2A,1,2A,2B,2B,1
122,accepted,,8ec02a0696cc94cb,False,2A,2A,2B,2A,2A,2A,2B,1,2A
123,accepted,,5b8c1e1a3c2cb02c,True,1,1,1,2A,2B,2B,2B,1,2B
124,accepted,,7e6a2ad2eb3d32c3,True,2B,2A,1,2A,2A,1,1,2A,1
125,accepted,,544003615432c0a8,True,2A,2A,2B,2A,2B,2A,2B,2A,2B
126,accepted,,8ced4669f36a1716,True,2A,2B,2B,2B,1,2A,1,2B,1
127,accepted,,e667e3893fb265ae,True,2A,2A,2B,2A,2B,2A,2B,2A,1
128,accepted,,1936d510c154b9df,False,1,1,1,2B,2A,2B,1,2A,2A
129,accepted,,3f0ee6f82d0f73a0,True,2A,2B,2B,2A,1,1,1,2B,2B
130,accepted,,da5eaaec3cd9a456,False,2B,2B,1,2A,1,1,2B,2B,2B
131,accepted,,049728dbfa6a88f9,False,2B,2B,2B,2A,2B,1,1,2B,1
132,accepted,,c23103e138a15294,True,2B,2B,2B,2A,2A,1,2B,2A,1
133,accepted,,0046fa9695f20de1,True,2A,1,2B,2A,1,1,1,2B,2A
134,accepted,,d28e8dae6074a320,False,1,2B,2B,2B,1,2B,1,2B,1
135,accepted,,dca3e383dd8993d6,False,1,2B,1,2A,1,2B,2B,2B,2B
136,accepted,,bf57244adbe8d602,True,1,1,2B,2A,1,1,1,2B,1
137,accepted,,c65dafd87aac6dd7,True,1,2B,1,2A,2A,2A,1,1,1
138,accepted,,8cfa688075c2012a,False,2A,2B,2B,2A,2A,2B,1,2B,2A
139,accepted,,dfd03cc2597884d8,False,2A,2B,1,2B,2A,2B,1,2A,2B
140,accepted,,35a787202359c4cf,False,2A,1,2B,2B,2B,1,2B,2A,2B
141,accepted,,e25fe141c2e4f072,True,2B,1,1,2B,2B,1,1,1,2B
142,accepted,,f4c7ec7eb1757201,True,1,1,1,2B,2B,2A,2B,1,2B
143,accepted,,56a69cd9440a2861,True,2A,1,1,2A,2B,2B,1,2A,2A
144,accepted,,17a5fa2670913695,True,2B,1,1,2B,1,2B,2B,1,1
145,accepted,,aea88fb451d545b3,True,2B,1,2B,2B,2B,2B,1,2B,1
146,accepted,,eb199cb156e647da,False,1,1,2B,2B,2B,2B,1,1,1
147,accepted,,5b59a151c318e22f,False,2B,2B,1,2B,2B,1,1,1,2A
148,accepted,,abe9caa1cff7567d,False,2B,2A,2B,2B,2A,2B,2B,1,1
149,accepted,,b9289b74ddf098dd,False,2B,2A,1,2A,1,1,2B,2B,2B
150,accepted,,bd20e5574e850b60,True,2B,2B,1,2A,2A,1,1,2A,2B
151,accepted,,bdb6b9071185d593,False,2B,2B,2B,2A,1,1,1,2B,1
152,accepted,,cc7ede6feeb05cd6,False,1,2B,2B,2A,2A,2A,1,2B,2B
153,accepted,,5649f6014e3ff7f9,False,2B,2B,2B,2A,2B,1,2B,2B,2A
154,accepted,,04ad8fff05c0b3c9,True,1,1,1,2A,2B,2A,2B,1,1
155,accepted,,6eeb1f38e4ad9e34,True,2A,2B,2B,2B,2A,2B,1,1,2A
156,accepted,,8a7f2699ddcc2c07,False,2B,2B,2B,2B,2A,2B,1,2B,2A
157,accepted,,e5f8249bf275bd9d,True,2A,2B,2B,2B,1,2B,1,1,2B
158,accepted,,a2e44793e6d87a0a,False,1,2A,2B,2B,2A,2B,1,2B,2A
159,accepted,,768ef95346aa62fc,False,1,2A,2B,2A,2A,1,2B,2B,2B
160,accepted,,c0635bea66b9a095,True,2A,2A,1,2B,1,2B,2B,1,2B
161,accepted,,6c0561b7527ec80a,True,2A,2A,1,2B,1,1,2B,2A,2A
162,accepted,,9486478fc315c72b,True,1,2A,1,2B,2A,1,1,1,2B
163,accepted,,0ecc1860b9e820e5,False,2B,2B,1,2A,1,1,2B,2B,2A
164,accepted,,64396ddbe5540620,True,2B,1,1,2A,2B,2B,1,2A,2B
165,accepted,,0fc1dc1814d48dfc,True,2A,1,1,2A,2A,2B,2B,1,2A
166,accepted,,7fdef8cd8b480363,True,1,2A,2B,2B,2B,2B,2B,2B,2A
167,accepted,,b0e905c923f6e549,False,1,1,2B,2A,2B,2B,2B,2A,2A
168,accepted,,d17160fa29d2d984,True,1,2A,1,2A,2A,2B,2B,2A,2A
169,rejected,integration_exception: array must not contain infs or NaNs,,False,2A,1,1,2A,2A,2B,1,2A,1
170,accepted,,37886e5eb5ea24c0,False,2B,1,1,2A,1,2A,1,2A,2B
171,accepted,,8ff3551f980d1741,True,2A,2B,1,2B,2B,1,2B,2B,2B
172,accepted,,1b9efd93e6364ea8,False,2B,1,1,2B,2A,1,2B,2A,2A
173,accepted,,a548ff08d3e8d70e,False,1,2B,2B,2A,1,2B,1,2B,2B
174,accepted,,6edf7a977aca02d3,True,2A,2B,2B,2A,1,2A,2B,2B,1
175,accepted,,19134c9996c29a15,True,2B,2B,1,2B,1,2B,2B,2B,2B
176,accepted,,3b694cb98bae8273,False,2B,1,1,2A,2A,2A,2B,1,2B
177,accepted,,720a1a26bfa9fa2d,True,1,1,1,2B,1,1,1,1,2B
178,accepted,,7ae54bb5cc384d4d,False,1,2A,1,2A,1,2B,2B,2A,1
179,accepted,,c99ec76cf4df8de0,False,1,2B,1,2A,2B,2B,2B,2B,1
180,accepted,,b46cb2c381573310,False,2A,2A,1,2A,2A,2A,2B,2A,1
181,accepted,,cf1a02d33a6032a7,False,2A,2B,1,2B,1,2B,1,2A,2A
182,accepted,,cfdea0e4fecda265,False,2A,2B,2B,2A,2A,2A,1,2B,1
183,accepted,,284cb9403d03eb8f,False,1,1,1,2B,1,1,1,2A,2A
184,accepted,,148ca21fe2080f70,False,2B,2B,1,2B,2A,1,2B,1,2A
185,accepted,,29b88f0bdab18dc3,True,1,1,1,2B,2B,2B,1,1,2A
186,accepted,,5e2d1c85c7afe3ac,False,1,1,1,2A,2B,1,2B,2B,1
187,accepted,,09a57012c1a36e9f,False,1,2A,1,2A,1,2A,2B,1,2A
188,accepted,,e3446a55fda0fe84,True,2B,2A,1,2A,2A,1,1,1,2A
189,accepted,,88cc1a09230b5d96,False,2A,2A,2B,2A,2B,1,2B,2B,1
190,accepted,,9e8d060183af78ff,True,2B,1,1,2B,1,1,2B,2A,1
191,accepted,,f214ab142d936908,True,1,2A,2B,2B,2A,2A,1,1,1
192,accepted,,6ee217bacc47aa29,False,2B,2A,1,2B,2A,2B,2B,1,1
193,accepted,,b31fa26dc8742c19,False,2B,1,2B,2A,2B,2B,1,2B,2A
194,accepted,,940ba51aad4e582e,True,2B,1,2B,2A,2A,2A,2B,2A,2B
195,accepted,,2911211eab8f37a3,False,1,1,1,2A,2A,1,1,2B,1
196,accepted,,da16ec91cc7d1656,True,2B,1,2B,2B,2A,2A,1,1,2B
197,accepted,,fbdc0adfc8dcdfeb,True,2A,2A,2B,2A,2A,2B,2B,2B,2B
198,accepted,,65236787581646ba,False,2A,2B,2B,2A,2B,1,1,2A,2A
199,accepted,,3cf0c51ea860380d,False,2B,2B,2B,2B,2B,1,2B,2A,2A
200,accepted,,7c5cda72c59076f2,False,2B,2B,2B,2B,1,2B,2B,2A,2A
201,accepted,,a10b8989c21ff6af,True,2A,2B,2B,2B,2B,2B,2B,1,1
202,accepted,,c9801e550335429a,True,1,1,2B,2A,2B,2A,1,1,2B
203,accepted,,b4ebc3e9234268ff,False,2A,2B,1,2B,2B,2B,1,2A,2A
204,accepted,,ef2e374aec469025,True,2A,1,1,2A,2A,2A,2B,2B,2A
205,accepted,,f2bcc4f04fe541fa,False,2B,2B,1,2B,1,1,2B,2A,2A
206,accepted,,a055b7d2627ea0f0,False,2B,2B,2B,2A,1,1,1,2A,1
207,accepted,,b9cd59ad55098550,False,2B,2A,1,2B,2A,2A,1,2A,1
208,accepted,,fd9dfe3a33abf717,False,1,1,2B,2A,2B,1,2B,1,2A
209,accepted,,43a5f7c31fbb6839,True,1,1,2B,2B,2B,2A,2B,1,1
210,accepted,,cdd08aec52893500,True,1,2B,2B,2B,1,2A,1,1,2B
211,accepted,,06dabd3a9f36b569,False,2B,1,1,2A,1,1,1,1,2A
212,accepted,,869c6d7935603232,True,2B,2A,1,2A,1,2A,2B,1,2A
213,accepted,,8b084662528d0e9c,True,1,2B,2B,2A,1,1,1,1,1
214,accepted,,7b466fc5d1d12dac,True,1,2B,1,2B,1,2B,1,2A,1
215,accepted,,4974c7bef6caea5f,True,1,2A,1,2A,1,2B,2B,2B,2B
216,accepted,,41de2c9719dec940,False,2B,2B,1,2B,1,2A,2B,2A,2A
217,accepted,,e9269ef4fbbb8967,False,2B,1,1,2B,1,1,2B,2A,2B
218,accepted,,e81f4adb94733195,False,2A,2B,1,2B,1,2B,1,2B,2A
219,accepted,,4e0840b8f0e37834,True,2B,2A,2B,2A,1,1,1,2B,2A
220,accepted,,ec456d621c6006a2,True,2A,1,2B,2A,2A,1,1,2A,1
221,accepted,,35142bd6fb5a1a15,False,1,2B,1,2A,1,2B,1,2A,1
222,accepted,,c2f87756314231c9,True,2A,2A,2B,2B,2A,2B,1,1,2B
223,accepted,,133ad79e9f99011f,True,1,2A,2B,2B,1,2B,2B,2B,1
224,accepted,,84fa29090d9e28ba,False,2A,2B,2B,2A,2A,2A,1,2B,2A
225,accepted,,5f72b1b1c08a9f38,False,2B,2A,2B,2A,2B,2B,2B,2A,2A
226,accepted,,a98a7c347ce52dd3,False,2B,2A,1,2B,2A,2B,2B,2B,2B
227,accepted,,65b8f9f30f2aef57,True,1,1,2B,2A,1,2A,1,1,2B
228,accepted,,eee63b647963ad22,False,2A,2B,1,2A,2B,2B,2B,2B,2A
229,accepted,,cd159cb55ccb1258,False,1,2A,1,2B,2B,1,1,2B,1
230,accepted,,1a8e1d6c618c554c,True,2B,1,1,2B,1,2A,2B,2A,1
231,accepted,,c9a35b3c08a6a562,False,1,2B,1,2A,2A,1,2B,2A,1
232,accepted,,52a3675ede9e684a,False,2B,1,2B,2A,2B,2B,1,1,2A
233,accepted,,59c9b9ada608d6d9,False,2B,1,2B,2A,1,2A,1,2B,2A
234,accepted,,9909811e29909276,False,2B,2A,1,2B,1,2B,1,2A,2B
235,accepted,,4a653ec40e0a2b1d,False,1,1,1,2A,2B,2B,1,2A,1
236,accepted,,aa47f738fb604271,True,2B,2A,2B,2A,2A,2A,2B,2B,1
237,accepted,,3b10f99d86b13007,False,1,1,2B,2B,2B,2A,2B,2A,2B
238,accepted,,4f8cdde416d56603,True,2A,2B,1,2A,1,2A,1,2B,2B
239,accepted,,922c4aff89ea91bb,True,2A,1,1,2A,2B,2A,2B,2A,1
240,accepted,,a3a8046ad691bc4f,True,1,1,2B,2A,2B,2A,1,2B,2B
241,accepted,,186a3652cceaedcc,True,2B,1,1,2A,2A,2B,1,2B,2A
242,accepted,,6491b5621fb20bc6,True,2B,2A,2B,2B,2A,2A,2B,1,2A
243,accepted,,fe75ea7f8689ee7c,True,2B,1,2B,2B,1,2B,1,1,1
244,accepted,,bf32452efe9d9dc1,False,1,2A,1,2A,1,2B,1,2A,2B
245,accepted,,bf4d138a5b6383d0,False,1,1,2B,2B,2B,2B,1,2B,2B
246,accepted,,ac94b5554dae2c68,False,2B,1,1,2B,2B,2A,2B,1,2B
247,accepted,,f8f9abd47eb8975e,False,2A,2B,2B,2B,2B,2B,2B,2B,2B
248,accepted,,31c80cf5c7a7d16a,False,1,2B,1,2A,2B,2B,2B,1,2B
249,accepted,,547a85e834d5fe88,False,2B,1,2B,2B,2A,2B,2B,1,2B
250,accepted,,967ebd96677d3521,False,1,2A,2B,2B,1,2B,2B,2B,1
251,accepted,,a597a2ff826b7dd7,False,1,1,2B,2A,1,2B,2B,2B,1
252,accepted,,ff2a8f560b546b24,False,2B,1,1,2A,1,2A,1,2B,2A
253,accepted,,fa8591b271236be3,False,2A,2B,1,2B,1,2A,1,2B,2A
254,accepted,,2b51ad60e511d17c,True,2B,2A,2B,2A,1,1,2B,2B,2A
255,accepted,,e460d1e6c5154e3a,False,1,2A,1,2A,1,2B,1,2A,2B
256,accepted,,da8da91864612e24,True,1,2A,2B,2B,1,1,1,2A,2A
257,accepted,,c62a13054b052774,True,2A,1,1,2A,2A,1,2B,2A,1
258,accepted,,5147d7aa8c9f5b40,True,2A,2B,1,2B,2A,2A,2B,2B,1
259,accepted,,660d76b8bbfebdfd,True,2B,2A,2B,2B,2B,2B,1,2A,2B
260,accepted,,73d5146f538292f3,False,2B,1,2B,2A,2A,1,1,2A,2A
261,accepted,,d8f799748174e4d1,True,2A,1,1,2A,2A,2A,2B,1,2A
262,accepted,,a41c2e2c6e0e14cf,True,2B,2A,2B,2B,1,2A,1,1,1
263,accepted,,29e73c576829598a,False,1,2B,1,2A,2B,1,1,1,2A
264,accepted,,deed2f3b04e8b988,False,2B,1,1,2B,2B,2B,2B,2A,2A
265,accepted,,7977243859788483,False,1,2B,2B,2B,2B,2B,2B,2B,1
266,accepted,,34bbf6f492a885fa,True,2B,1,1,2A,2B,2A,2B,2A,2A
267,accepted,,54dbc1094cf9ebb3,True,2B,2B,1,2A,1,1,1,2A,2B
268,accepted,,c693da5512704ad6,True,2B,2A,2B,2B,2B,2A,1,2B,2B
269,accepted,,ab929d3e04579d03,False,2A,1,2B,2A,2A,2A,2B,1,2A
270,accepted,,f795a1115c8c9c8b,False,2A,1,1,2A,1,2B,2B,2A,1
271,accepted,,a50baa7b8323b495,False,2B,2B,2B,2A,2B,2B,2B,2A,1
272,accepted,,514b224d56ffaf19,False,2A,2A,1,2B,2A,2B,2B,2A,2B
273,accepted,,a03a38e2887ddfd1,False,2A,2A,1,2B,2B,2A,2B,2B,2B
274,accepted,,7b17596fd062b495,False,1,2B,2B,2B,2B,2B,1,1,1
275,accepted,,7c409788a32df489,False,2B,2A,1,2A,1,2B,1,2B,1
276,accepted,,c7e85e782a8bac69,False,1,2B,2B,2B,2B,2A,2B,2A,2B
277,accepted,,c698a16863c1c73e,False,1,2B,2B,2A,2A,2B,2B,1,2B
278,accepted,,2e45f8843447004d,True,1,1,1,2A,2B,2B,2B,2B,1
279,accepted,,529984188222fb91,False,1,2B,1,2B,2B,2B,1,2A,2A
280,accepted,,0608802f18b9f3a5,False,1,2A,2B,2A,1,1,2B,2A,1
281,accepted,,ea9c7275a1685ba4,False,1,2A,2B,2A,2B,2B,2B,2A,1
282,accepted,,6cf6f96d6ee41873,True,2A,2A,1,2A,2A,1,1,2B,1
283,accepted,,2d6e35baaa0c9ddc,False,2B,2A,1,2B,2B,2A,1,2B,2B
284,accepted,,c7279cdb7a966ecb,False,1,2A,2B,2A,2A,1,1,2B,2A
285,accepted,,e7e2d633b1dbfadc,True,1,2B,2B,2B,1,2B,1,2A,2B
286,accepted,,07f7d036509b9a4d,False,1,1,1,2B,2B,1,1,2A,2B
287,accepted,,753a6e2ceb44688a,True,1,2A,2B,2B,1,2B,1,2B,1
288,accepted,,ab3ee744856b920e,False,1,2A,2B,2A,1,2A,1,2A,2B
289,accepted,,d17271cf1fdef6b4,False,2B,2B,2B,2B,2A,1,2B,2B,2B
290,accepted,,7e5766c9cd7cd48f,False,2A,2A,1,2A,2B,2A,2B,2B,2A
291,accepted,,03abb1c293e05187,True,1,2B,2B,2B,1,2A,2B,1,2A
292,accepted,,eae794b18ef4c4fb,False,2A,1,2B,2B,2A,2A,2B,2B,1
293,accepted,,0623459798768d13,False,2A,2A,2B,2B,2A,2B,2B,2B,2B
294,accepted,,a18d15489b7d0d84,False,1,1,2B,2A,2A,2A,1,1,2A
295,accepted,,3e5896c34e3b4276,True,2B,2A,1,2A,2B,2A,2B,2A,1
296,accepted,,801c3447cc5a5263,False,2B,1,1,2A,1,2A,2B,2B,2A
297,accepted,,79bed732ccb676e8,False,2A,1,2B,2B,2B,2B,2B,2A,2B
298,accepted,,5c5415deca0c5ca9,False,1,2B,2B,2B,1,2B,2B,2A,1
299,accepted,,53158d7c7b419762,False,1,2A,2B,2A,2A,1,1,2B,2A
300,accepted,,98f191ff685cf53d,True,2B,2B,1,2B,2B,1,1,2A,2B
301,accepted,,0396ee83154bf169,True,1,2B,2B,2A,1,2A,2B,1,2B
302,accepted,,64e4509c73df0768,False,2B,2B,2B,2A,2B,2B,2B,1,1
303,accepted,,3b472d7cf4cccedf,True,1,1,1,2B,1,2B,2B,1,2A
304,accepted,,9ec33a8c97229939,True,2A,1,1,2B,1,2A,1,1,2A
305,accepted,,8e646017ca51928e,False,2B,1,1,2B,2A,2B,1,1,2B
306,accepted,,d6b223d77650d89b,True,2B,2B,1,2B,2A,1,2B,1,2A
307,accepted,,43257f3d8d5b2af9,False,2B,2A,2B,2B,2B,2A,1,2A,2A
308,accepted,,2a3dd7ec3f5c0d54,False,2B,2B,2B,2A,2A,1,1,2A,1
