name,tier,nominal_fixture,domain,distribution,primary_range,stress_range,note
mn,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
mu_M1,partial_range,0.05,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[0.05,0.46]; C2A:[2.41,22.92]; C2B:[4.73,37.32]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=0.14; C2A avg=6.88; C2B avg=10.77
mu_M2,partial_range,0.03,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[2.87,11.89]; C2A:[1.23,6.39]; C2B:[7.33,32.05]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=5.43; C2A avg=3.45; C2B avg=17.7
kM1base,definition_only,0.1,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
hn,partial_range,2,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[1.03,6.0]; C2B:[1.0,2.23]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=5.14; C2B avg=1.27
vn,partial_range,1.0,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C2A:[0.2,1.21]; C2B:[0.87,25.85]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C2A avg=0.85; C2B avg=7.17
kcd,definition_only,0.1,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kpn1,partial_range,1.0,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[0.07,29.9]; C2A:[0.05,0.93]; C2B:[0.11,2.86]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=15.51; C2A avg=0.25; C2B avg=0.91
mu_n1,definition_only,0.2,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kpn12,partial_range,1.0,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[8.1,49.88]; C2A:[0.05,1.25]; C2B:[0.59,8.06]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=32.31; C2A avg=0.42; C2B avg=1.83
mu_n12,partial_range,0.2,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[0.06,0.63]; C2B:[0.05,0.076]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=0.26; C2B avg=0.052
ktbase,definition_only,0.1,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
ktn12,definition_only,0.5,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
cn,definition_only,2,"positive integer/real, cooperativity exponent",discrete-uniform,1-4,1-6,EXPLORATORY MATHEMATICAL RANGE (not asserted biologically plausible)
rn,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
a_inf2,partial_range,5.0,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[25.0,38.51]; C2A:[1.31,16.21]; C2B:[25.0,44.3]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=26.42; C2A avg=8.78; C2B avg=27.97
kM2base,definition_only,0.1,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kc4,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
qn,definition_only,2,"positive integer/real, cooperativity exponent",discrete-uniform,1-4,1-6,EXPLORATORY MATHEMATICAL RANGE (not asserted biologically plausible)
wn,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
ktn10,definition_only,0.5,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kpn10,definition_only,0.5,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
mu_n10,partial_range,0.2,"continuous, published cluster-specific fitted range","equal-weight categorical over reported cluster(s), then uniform within chosen cluster's interval","C1:[0.3,0.72]; C2A:[0.82,1.7]; C2B:[1.18,1.4]","n/a (published-support-constrained, no separate stress tier)",RESOLVED from Additional file 1. Averages (not used for sampling): C1 avg=0.5; C2A avg=1.29; C2B avg=1.3
ktn4,definition_only,0.5,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kpn4,definition_only,0.5,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
mu_n4,definition_only,0.2,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
alpha_n12,definition_only,0.05,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
alpha_n1,definition_only,0.05,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
r_M1,definition_only,0.02,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
gamma_M1,definition_only,0.01,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
gamma_M2,definition_only,0.02,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
IC_M1,initial_condition,2.0,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_M2,initial_condition,0.5,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_IL1,initial_condition,0.1,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_IL12,initial_condition,0.1,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_IL10,initial_condition,0.1,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_IL4,initial_condition,0.1,"non-negative real, arbitrary units (unpublished IC)",log-uniform multiplicative around numerical-fixture anchor,0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,"IC status: unavailable_for_all_states (fit per patient cluster, never published)"
IC_D,initial_condition,0.0,"non-negative real, arbitrary units (unpublished IC)","mixture: Bernoulli(p=0.4)->D0=0; else D0 = D_star * 10^U(-1,1), D_star=0.1 (FIXED)","0 or [0.010, 1.000]","0 or [0.001, 10.000]","D_star is an explicit arbitrary numerical-scale anchor, included in anchor-sensitivity ensemble"
